
Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
100000 5516 11167 16490 15762 14834 12903 11286 6035 1504 35530 31862 28105 8245 8093 7599 8183 9155 8405 3358 0 72 0 -64267709 12218 8570 
200000 6621 13164 19534 18043 17436 15310 14113 7300 2010 42794 37502 33235 7711 8186 7737 7910 9592 8544 3386 0 274 0 -48633395 5517 1916 
300000 6763 13064 19323 17939 17219 15335 13787 7409 2226 42090 37882 33093 7830 7806 8123 7970 9854 8637 2855 0 883 0 -29113189 5683 3225 
400000 6459 12746 19580 18865 18190 15234 13706 7341 2241 42221 38253 33888 7703 7023 8435 7817 9943 8759 2250 0 1428 0 -12278035 6046 4668 
500000 6460 13231 19309 18631 17119 15199 13416 7597 2400 41434 37658 34270 7642 6694 8438 7874 10385 9187 1941 1 1771 0 -3514813 6370 5828 
600000 7150 14052 19702 18106 16519 14620 13084 7610 2268 41409 37650 34052 7520 6254 8765 7198 10941 9002 1701 0 1986 0 3422130 6981 6733 
700000 6726 13426 19063 16973 15846 13918 13755 8137 2351 40809 37038 32348 7963 6755 9288 7150 10067 8997 1694 0 2031 0 6035088 7248 7453 
800000 6671 12831 18262 17251 16688 15051 14028 8218 2413 41055 37033 33325 7900 6779 9060 7352 9920 8669 1642 0 2038 0 8158048 7533 7803 
900000 6274 12981 18511 18160 16413 14842 13513 8083 2516 41242 36873 33178 7731 7180 8910 7115 10451 8833 1522 0 2202 0 10501944 7480 8249 
1000000 6303 12814 18226 17329 16683 14652 14054 8088 2703 41177 36569 33106 7517 6882 8940 6948 10765 8628 1567 0 2080 0 10893916 7816 8545 


Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
1100000 6581 12515 18518 16743 16345 14142 13362 8067 2565 40078 35989 32771 7119 7663 10052 6846 11040 7500 1551 0 2177 0 11489945 8178 9039 
1200000 6585 13079 18776 17756 16725 14464 12780 7623 2253 40089 36678 33274 6630 8320 9891 6567 10305 7967 1518 0 2176 0 11311495 8409 9375 
1300000 7166 13440 19105 16758 16124 14337 13007 7743 2114 39636 36722 33436 7215 8652 9850 6694 10321 7488 1493 0 2230 0 13126664 7883 8717 
1400000 6607 12765 18343 17149 16442 14697 13589 8660 2560 39493 37476 33843 7281 7671 10945 6909 9774 7100 1419 0 2276 0 15471010 7940 8389 
1500000 6143 12491 19019 17598 17149 14505 13280 8263 2247 39239 37390 34066 6882 7670 11971 6523 9621 7553 1453 0 2286 0 15233154 7860 8493 
